"Section 138 in The Negotiable Instruments Act, 1881",section 138,"Central Government ActSection 138 in The Negotiable Instruments Act, 1881  18  [   138  Dishonour of cheque for insufficiency, etc., of funds in the account.  —Where any cheque drawn by a person on an account maintained by him with a banker for payment of any amount of money to another person from out of that account for the discharge, in whole or in part, of any debt or other liability, is returned by the bank unpaid, either because of the amount of money standing to the credit of that account is insufficient to honour the cheque or that it exceeds the amount arranged to be paid from that account by an agreement made with that bank, such person shall be deemed to have committed an offence and shall, without prejudice to any other provisions of this Act, be punished with imprisonment for  19  [a term which may be extended to two years], or with fine which may extend to twice the amount of the cheque, or with both: Provided that nothing contained in this section shall apply unless—(a)  the cheque has been presented to the bank within a period of six months from the date on which it is drawn or within the period of its validity, whichever is earlier;(b)  the payee or the holder in due course of the cheque, as the case may be, makes a demand for the payment of the said amount of money by giving a notice in writing, to the drawer of the cheque,  20  [within thirty days] of the receipt of information by him from the bank regarding the return of the cheque as unpaid; and(c)  the drawer of such cheque fails to make the payment of the said amount of money to the payee or, as the case may be, to the holder in due course of the cheque, within fifteen days of the receipt of the said notice.  Explanation.— For the purposes of this section, “debt or other liability” means a legally enforceable debt or other liability.]"
Section 406 in The Indian Penal Code,section 406,"Central Government ActSection 406 in The Indian Penal Code 406.  Punishment for criminal breach of trust.—Whoever commits criminal breach of trust shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
Section 468 in The Indian Penal Code,section 468,"Central Government ActSection 468 in The Indian Penal Code 468.  Forgery for purpose of cheating.—Whoever commits forgery, intending that the 1[document or electronic record forged] shall be used for the purpose of cheating, shall be punished with imprisonment of either de­scription for a term which may extend to seven years, and shall also be liable to fine."
Section 379 in The Indian Penal Code,section 379,"Central Government ActSection 379 in The Indian Penal Code 379.  Punishment for theft.—Whoever commits theft shall be pun­ished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
Section 504 in The Indian Penal Code,section 504,"Central Government ActSection 504 in The Indian Penal Code504.  Intentional insult with intent to provoke breach of the peace.—Whoever intentionally insults, and thereby gives provoca­tion to any person, intending or knowing it to be likely that such provocation will cause him to break the public peace, or to commit any other offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
Section 467 in The Indian Penal Code,section 467,"Central Government ActSection 467 in The Indian Penal Code 467.  Forgery of valuable security, will, etc.—Whoever forges a document which purports to be a valuable security or a will, or an authority to adopt a son, or which purports to give authority to any person to make or transfer any valuable security, or to receive the principal, interest or dividends thereon, or to receive or deliver any money, movable property, or valuable security, or any document purporting to be an acquittance or receipt acknowledging the payment of money, or an acquittance or receipt for the delivery of any movable property or valuable security, shall be punished with 1[imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
Section 376 in The Indian Penal Code,section 376,"Central Government ActSection 376 in The Indian Penal Code  1[376.  Punishment for rape.—(1)  Whoever, except in the cases provided for by sub-section (2), commits rape shall be punished with imprisonment of either description for a term which shall not be less than seven years but which may be for life or for a term which may extend to ten years and shall also be liable to fine unless the women raped is his own wife and is not under twelve years of age, in which cases, he shall be punished with imprisonment of either description for a term which may extend to two years or with fine or with both: Provided that the court may, for adequate and special reasons to be mentioned in the judgment, impose a sentence of imprisonment for a term of less than seven years. (2)  Whoever,— (a)  being a police officer commits rape— (i)  within the limits of the police station to which he is ap­pointed; or (ii)  in the premises of any station house whether or not situated in the police station to which he is appointed; or (iii)  on a woman in his custody or in the custody of a police officer subordinate to him; or (b)  being a public servant, takes advantage of his official position and commits rape on a woman in his custody as such public servant or in the custody of a public servant subordinate to him; or (c)  being on the management or on the staff of a jail, remand home or other place of custody established by or under any law for the time being in force or of a woman’s or children’s insti­tution takes advantage of his official position and commits rape on any inmate of such jail, remand home, place or institution; or (d)  being on the management or on the staff of a hospital, takes advantage of his official position and commits rape on a woman in that hospital; or (e)  commits rape on a woman knowing her to be pregnant; or (f)  commits rape on a woman when she is under twelve years of age; or (g)  commits gang rape, shall be punished with rigorous imprisonment for a term which shall not be less than ten years but which may be for life and shall also be liable to fine: Provided that the Court may, for adequate and special reasons to be mentioned in the judgment, impose a sentence of imprisonment of either description for a term of less than ten years. Explanation 1.—Where a woman is raped by one or more in a group of persons acting in furtherance of their common intention, each of the persons shall be deemed to have committed gang rape within the meaning of this sub-section. Explanation 2.—“Women’s or children’s institution” means an institution, whether called an orphanage or a home for neglected woman or children or a widows’ home or by any other name, which is established and maintained for the reception and care of woman or children. Explanation 3.—“Hospital” means the precincts of the hospital and includes the precincts of any institution for the reception and treatment of persons during convalescence or of persons requiring medical attention or rehabilitation.]"
Section 471 in The Indian Penal Code,section 471,"Central Government ActSection 471 in The Indian Penal Code 471.  Using as genuine a forged 1[document or electronic record].—Whoever fraudulently or dishonestly uses as genuine any 1[document or electronic record] which he knows or has reason to believe to be a forged 1[document or electronic record], shall be punished in the same manner as if he had forged such 1[document or electronic record]."
Section 324 in The Indian Penal Code,section 324,"Central Government ActSection 324 in The Indian Penal Code 324.  Voluntarily causing hurt by dangerous weapons or means.—Whoever, except in the case provided for by section 334, volun­tarily causes hurt by means of any instrument for shooting, stab­bing or cutting, or any instrument which, used as weapon of offence, is likely to cause death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance, or by means of any explosive substance or by means of any substance which it is deleterious to the human body to in­hale, to swallow, or to receive into the blood, or by means of any animal, shall be punished with imprisonment of either de­scription for a term which may extend to three years, or with fine, or with both."
Section 120B in The Indian Penal Code,section 120B,"Central Government ActSection 120B in The Indian Penal Code  1[120B.  Punishment of criminal conspiracy.—(1)  Whoever is a party to a criminal conspiracy to commit an offence punishable with death, 2[imprisonment for life] or rigorous imprisonment for a term of two years or upwards, shall, where no express provision is made in this Code for the punishment of such a conspiracy, be punished in the same manner as if he had abetted such offence. (2)  Whoever is a party to a criminal conspiracy other than a criminal conspiracy to commit an offence punishable as aforesaid shall be punished with imprisonment of either description for a term not exceeding six months, or with fine or with both.]"
"Section 4 in the Dowry Prohibition Act, 1961",section 4,"Central Government ActSection 4 in the Dowry Prohibition Act, 1961  1[4.  Penalty for demanding dowry.—If any person demands, directly or indirectly, from the parents or other relatives or guardian of a bride or bridegroom, as the case may be, any dowry, he shall be punishable with imprisonment for a term which shall not be less than six months, but which may extend to two years and with fine which may extend to ten thousand rupees: 2[4. Penalty for demanding dowry.—If any person demands, directly or indirectly, from the parents or other relatives or guardian of a bride or bridegroom, as the case may be, any dowry, he shall be punishable with imprisonment for a term which shall not be less than six months, but which may extend to two years and with fine which may extend to ten thousand rupees\:"" Provided that the court may, for adequate and special reasons to be mentioned in the judgment, impose a sentence of imprisonment for a term of less than six months.]"
Section 354 in The Indian Penal Code,section 354,"Central Government ActSection 354 in The Indian Penal Code 354.  Assault or criminal force to woman with intent to outrage her modesty.—Whoever assaults or uses criminal force to any woman, intending to outrage or knowing it to be likely that he will thereby outrage her modesty, shall be punished with impris­onment of either description for a term which may extend to two years, or with fine, or with both."
"Section 313 in The Code Of Criminal Procedure,   1973",section 313,"Central Government ActSection 313 in The Code Of Criminal Procedure,   1973 313.  Power to examine the accused. (1)  In every inquiry or trial, for the purpose of enabling the accused personally to explain any circumstances appearing in the evidence against him, the Court- (a)  may at any stage, without previously warning the accused, put such questions to him as the Court considers necessary;  (b)  shall, after the witnesses for the prosecution have been examined and before he is called on for his defence, question him generally on the case: Provided that in a summons- case, where the Court has dispensed with the personal attendance of the accused, it may also dispense with his examination under clause (b).   (2)  No oath shall be administered to the accused when he is examined under sub- section (1).  (3)  The accused shall not render himself liable to punishment by refusing to answer such questions, or by giving false answers to them.  (4)  The answers given by the accused may be taken into consideration in such inquiry or trial, and put in evidence for or against him in any other inquiry into, or trial for, any other offence which such answers may tend to show he has committed.


  "
Section 304B in The Indian Penal Code,section 304B,"Central Government ActSection 304B in The Indian Penal Code  1[304B.  Dowry death.—(1)  Where the death of a woman is caused by any burns or bodily injury or occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that soon before her death she was subjected to cruelty or har­assment by her husband or any relative of her husband for, or in connection with, any demand for dowry, such death shall be called “dowry death”, and such husband or relative shall be deemed to have caused her death. Explanation.—For the purpose of this sub-section, “dowry” shall have the same meaning as in section 2 of the Dowry Prohibition Act, 1961 (28 of 1961). (2)  Whoever commits dowry death shall be punished with imprison­ment for a term which shall not be less than seven years but which may extend to imprisonment for life.]"
Section 341 in The Indian Penal Code,section 341,"Central Government ActSection 341 in The Indian Penal Code 341.  Punishment for wrongful restraint.—Whoever wrongfully restrains any person shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
Section 149 in The Indian Penal Code,section 149,"Central Government ActSection 149 in The Indian Penal Code 149.  Every member of unlawful assembly guilty of offence commit­ted in prosecution of common object.—If an offence is committed by any member of an unlawful assembly in prosecution of the common object of that assembly, or such as the members of that assembly knew to be likely to be committed in prosecution of that object, every person who, at the time of the committing of that offence, is a member of the same assembly, is guilty of that offence."
Section 304 in The Indian Penal Code,section 304,"Central Government ActSection 304 in The Indian Penal Code 304.  Punishment for culpable homicide not amounting to murder.—Whoever commits culpable homicide not amounting to murder shall be punished with 1[imprisonment for life], or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine, if the act by which the death is caused is done with the intention of causing death, or of causing such bodily injury as is likely to cause death, or with imprisonment of either description for a term which may extend to ten years, or with fine, or with both, if the act is done with the knowledge that it is likely to cause death, but without any intention to cause death, or to cause such bodily injury as is likely to cause death."
"Section 5 in The Limitation Act, 1963",section 5,"Central Government ActSection 5 in The Limitation Act, 1963   5  Extension of prescribed period in certain cases.  —Any appeal or any application, other than an application under any of the provisions of Order XXI of the Code of Civil Procedure, 1908 (5 of 1908), may be admitted after the prescribed period, if the appellant or the applicant satisfies the court that he had sufficient cause for not preferring the appeal or making the application within such period.  Explanation.— The fact that the appellant or the applicant was misled by any order, practice or judgment of the High Court in ascertaining or computing the prescribed period may be sufficient cause within the meaning of this section."
Section 147 in The Indian Penal Code,section 147,"Central Government ActSection 147 in The Indian Penal Code 147.  Punishment for rioting.—Whoever is guilty of rioting, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
Section 148 in The Indian Penal Code,section 148,"Central Government ActSection 148 in The Indian Penal Code 148.  Rioting, armed with deadly weapon.—Whoever is guilty of rioting, being armed with a deadly weapon or with anything which, used as a weapon of offence, is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
"Section 164 in The Code Of Criminal Procedure,   1973",section 164,"Central Government ActSection 164 in The Code Of Criminal Procedure,   1973 164.  Recording of confessions and statements. (1)  Any Metropolitan Magistrate or Judicial Magistrate may, whether or not he has jurisdiction in the case, record any confession or statement made to him in the course of an investigation under this Chapter or under any other law for the time being in force, or at any time afterwards before the commencement of the inquiry or trial: Provided that no confession shall be recorded by a police officer on whom any power of a Magistrate has been conferred under any law for the time being in force.


   (2)  The Magistrate shall, before recording any such confession, explain to the person making it that he is not bound to make a confession and that, if he does so, it may be used as evidence against him; and the Magistrate shall not record any such confession unless, upon questioning the person making it, he has reason to believe that it is being made voluntarily.  (3)  If at any time before the confession is recorded, the person appearing before the Magistrate states that he is not willing to make the confession, the Magistrate shall not authorise the detention of such person in police custody.  (4)  Any such confession shall be recorded in the manner provided in section 281 for recording the examination of an accused person and shall be signed by the person making the confession; and the Magistrate shall make a memorandum at the foot of such record to the following effect:-"" I have explained to (name) that he is not bound to make a confession and that, if he does so, any confession he may make may be used as evidence against him and I believe that this confession was voluntarily made. It was taken in my presence and hearing, and was read over to the person making it and admitted by him to be correct, and it contains a full and true account of the statement made by him. (Signed)  A. B. Magistrate"".   (5)  Any statement (other than a confession) made under sub- section (1) shall be recorded in such manner hereinafter provided for the recording of evidence as is, in the opinion of the Magistrate, best fitted to the circumstances of the case; and the Magistrate shall have power to administer oath to the person whose statement is so recorded.  (6)  The Magistrate recording a confession or statement under this section shall forward it to the Magistrate by whom the case is to be inquired into or tried. "
Section 452 in The Indian Penal Code,section 452,"Central Government ActSection 452 in The Indian Penal Code 452.  House-trespass after preparation for hurt, assault or wrong­ful restraint.—Whoever commits house-trespass, having made preparation for causing hurt to any person or for assaulting any person, or for wrongfully restraining any person, or for putting any person in fear of hurt, or of assault, or of wrongful re­straint, shall be punished with imprisonment of either descrip­tion for a term which may extend to seven years, and shall also be liable to fine."
Section 25 in Arms Act,section 25,"Central Government ActSection 25 in Arms Act 25.  Punishment for certain offences—  20  [(1)  Whoever— (a)  manufactures, sells, transfers, converts, repairs, tests or proves, or exposes or offers for sale or transfer, or has in his possession for sale, transfer, conversion, repair, test or proof, any arms or ammunition in contravention of section 5; or (b)  shortens the barrel of a firearm or converts an immitation firearm into a firearm in contravention of section 6; or  21  [***] (d)  bring into, or takes out of, India, any arms or ammunition of any class or description in contravention of section 11, shall be punishable with imprisonment for a term which shall not be less than three years but which may extend to seven years and shall also be liable to fine.   22  [(1A)  Whoever acquires, has in his possession or carries any prohibited arms or prohibited ammunition in contravention of section 7 shall be punishable with imprisonment for a term which shall not be less than five years, but which may extend to ten years and shall also be liable to fine. (1AA)  Whoever manufactures, sells, transfers, converts, repairs, tests or proves, or exposes or offers for sale or transfer or has in his possession for sale, transfer, conversion, repair, test or proof, any prohibited arms or prohibited ammunition in contravention of section 7 shall be punishable with imprisonment for a term which shall not be less than seven years but which may extend to imprisonment for life and shall also be liable to fine.]   23  [(1AAA)  ] Whoever has in contravention of a notification issued under section 24A in his possession or in contravention of a notification issued under section 24B carries or otherwise has in his possession, any arms or ammunition shall be punishable with imprisonment for a term which shall not be less than  24  [three years, but which may extend to seven years] shall also be liable to fine. (1B)  Whoever— (a)  acquires, has in his possession or carries any firearm or ammunition in contravention of section 3; or (b)  acquires, has in his possession or carries in any place specified by notification under section 4 any arms of such class or description as has been specified in that notification in contravention of that section; or (c)  sells or transfers any firearm which does not bear the name of the maker, manufacturer’s number or other identification mark stamped or otherwise shown thereon as required by sub-section (2) of section 8 or does any act in contravention of sub-section (1) of that section; or (d)  being a person to whom sub-clause (ii) or sub-clause (iii) of clause (a) of sub-section (1) of section 9 applies, acquires, has in his possession or carries any firearm or ammunition in contravention of that section; or (e)  sells or transfers, or converts, repairs, tests or proves any firearm or ammunition in contravention of clause (b) of sub-section (1) of section 9; or (f)  brings into, or takes out of, India, any arms or ammunition in contravention of section 10; or (g)  transports any arms or ammunition in contravention of section 12; or (h)  fails to deposit arms or ammunition as required by sub-section (2) of section 3, or sub-section (1) of section 21; or (i)  being a manufacturer of, or dealer in, arms or ammunition, fails, on being required to do so by rules made under section 44, to maintain a record or account or to make therein all such entries as are required by such rules or intentionally makes a false entry therein or prevents or obstructs the inspection of such record or account or the making of copies of entries therefrom or prevents or obstructs the entry into any premises or other place where arms or ammunition are or is manufactured or kept or intentionally fails to exhibit or conceals such arms or ammunition or refuses to point out where the same are or is manufactured or kept, shall be punishable with imprisonment for a term which shall not be less than  25  [one year] but which may extend to three years and shall also be liable to fine: Provided that the Court may for any adequate and special reasons to be recorded in the judgment impose a sentence of imprisonment for a term of less than 6[one year].   26  [(1C)  Notwithstanding anything contained in sub-section (1B), whoever commits an offence punishable under that sub-section in any disturbed area shall be punishable with imprisonment for a term which shall not be less than three years but which may extend to seven years and shall also be liable to fine. Explanation.—For the purposes of this sub-section, “disturbed area” means any area declared to be a disturbed area under any enactment, for the time being in force, making provision for the suppression of disorder and restoration and maintenance of public order, and includes any areas specified by notification under section 24A or section 24B.] (2)  Whoever being a person to whom sub-clause (i) of clause (a) of sub-section (1) of section 9 applies, acquires, has in his possession or carries any firearm or ammunition in contravention of that section shall be punishable with imprisonment for a term which may extend to one year, or with fine or with both.   27  [(3)  Whoever sells or transfers any firearm, ammunition or other arms— (i)  without informing the district magistrate having jurisdiction or the officer in charge of the nearest police station, of the intended sale or transfer of that firearm, ammunition or other arms; or (ii)  before the expiration of the period of forty-five days from the date of giving such information to such district magistrate or the officer in charge of the police station, in contravention of the provisions of clause (a) or clause (b) of the proviso to sub-section (2) of section 5, shall be punishable with imprisonment for a term which may extend to six months, or with fine of an amount which may extend to five hundred rupees, or with both.] (4)  Whoever fails to deliver-up a licence when so required by the licensing authority under sub-section (1) of section 17 for the purpose of varying the conditions specified in the licence or fails to surrender a licence to the appropriate authority under sub-section (10) of that section on its suspension or revocation shall be punishable with imprisonment for a term which may extend to six months, or with fine of an amount which may extend to five hundred rupees, or with both. (5)  Whoever, when required under section 19 to give his name and address, refuses to give such name and address or gives a name or address which subsequently transpires to be false shall be punishable with imprisonment for a term which may extend to six months, or with fine of an amount which may extend to two hundred rupees, or with both."
Section 366 in The Indian Penal Code,section 366,"Central Government ActSection 366 in The Indian Penal Code 366.  Kidnapping, abducting or inducing woman to compel her mar­riage, etc.—Whoever kidnaps or abducts any woman with intent that she may be compelled, or knowing it to be likely that she will be compelled, to marry any person against her will, or in order that she may be forced or seduced to illicit intercourse, or knowing it to be likely that she will be forced or seduced to illicit intercourse, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; 1[and whoever, by means of criminal intimidation as defined in this Code or of abuse of authority or any other method of compulsion, induces any woman to go from any place with intent that she may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person shall be punishable as aforesaid]."
Section 409 in The Indian Penal Code,section 409,"Central Government ActSection 409 in The Indian Penal Code 409.  Criminal breach of trust by public servant, or by banker, merchant or agent.—Whoever, being in any manner entrusted with property, or with any dominion over property in his capacity of a public servant or in the way of his business as a banker, mer­chant, factor, broker, attorney or agent, commits criminal breach of trust in respect of that property, shall be punished with 1[imprisonment for life], or with imprisonment of either descrip­tion for a term which may extend to ten years, and shall also be liable to fine."
